name,seq_length,fasta,protein_existence
P04745,511,84,1
Q8TEJ3,882,10,1
Q8IVK1,47,3,5
P09326,243,32,1
Q86YT5,568,29,1
Q5TZA2,2017,23,1
A8MQ27,555,9,1
Q8WV15,326,6,2
P51649,535,91,1
Q13753,1193,63,1
Q8N6V9,391,3,1
Q8TDU5,208,13,5
P36268,569,13,1
Q9Y3Q7,739,38,2
Q9UNI1,258,22,1
Q6Q6R5,217,14,2
P02585,160,13,1
Q7Z4G1,85,7,1
Q3SYB3,417,4,1
Q5T0D9,272,8,1
P49715,358,41,1
Q9BXK1,252,9,1
Q2M3R5,365,14,1
Q96R09,309,20,2
Q9BYQ9,185,31,2
P42679,507,33,1
Q9BYG5,372,8,1
Q86UB9,458,12,2
Q8NHM4,247,18,5
Q8NEF9,429,16,1
Q9NVM1,165,5,1
Q14590,738,22,2
Q6YLX9,742,33,2
P0CZ06,284,3,2
P27806,238,2,2
Q01902,148,1,3
P16315,295,3,2
D6QZM4,284,3,3
O04437,213,3,1
A3RCV9,232,1,2
P12463,353,30,3
Q95H45,63,1,3
Q95H52,136,1,3
P10386,307,4,2
P12300,500,3,2
P02862,39,2,2
P04568,93,1,2
Q41575,121,4,1
P17933,236,2,3
Q00434,258,2,2
P24065,508,8,3
P68855,43,2,3
Q01481,85,4,4
D2KFH1,172,3,2
P02876,213,49,1
P15953,265,7,2
P20159,47,6,1
Q9S7U0,510,1,2
Q9ST57,398,3,1
Q1XH04,570,10,1
P58272,113,2,3
P46526,469,24,2
P07747,398,14,2
P11515,500,12,2
Q84N29,122,6,2
P26759,224,9,1
P10968,212,49,1
P46524,262,6,2
P02861,101,2,2
Q9AUJ7,527,6,1
P10388,848,3,3
Q43199,181,1,2
O04705,361,8,1
A5A4L4,284,3,3
Q7XB13,408,11,2
Q70KG5,389,3,1
O24473,270,3,1
P83184,15,7,1
Q43206,492,4,2
B1B5D5,310,1,3
Q43654,647,3,2
P09864,53,9,1
P0CD55,510,13,3
P21292,302,2,3
P62728,37,1,3
Q43312,134,2,2
P31251,1051,10,2
P69398,36,2,3
P46285,393,12,2
Q3I410,370,6,2
P81496,27,2,1
P00228,143,7,1
P82977,84,5,1
P46525,391,22,2
P25032,354,4,1
P46274,275,1,2
Q43723,121,2,2
P12073,339,8,3
P68428,136,15,1
P12358,24,2,1
P0CD54,510,13,3
A5A4L5,284,3,3
P04726,296,2,3
W5EP13,495,4,1
D0EWS4,284,3,3
Q9XPT0,247,6,3
Q43209,230,14,1
P10969,186,51,1
P0CZ07,179,3,2
P62786,103,9,3
Q95H43,362,9,3
P62785,103,9,3
D7X0X2,230,1,4
